st,ne,co
s,a,2
s,ch,3
s,e,4
s,h,5
s,i,5
s,m,6
s,n,6
s,o,6
s,p,6
s,t,7
s,u,8
s,w,9
s,x,9
s,y,9
s,z,9
qu,a,3
qu,e,4
qu,i,5
qu,o,6
qu,r,7
qu,t,8
qu,y,9
OC,a,3
OC,e,4
OC,i,5
OC,o,6
OC,r,7
OC,u,8
OC,y,9
VO,b,2
VO,d,3
VO,l,4
VO,m,4
VO,n,5
VO,p,6
VO,r,7
VO,s,8
VO,t,8
VO,u,9
VO,v,9
VO,w,9
VO,y,9
AD,a,3
AD,b,3
AD,c,3
AD,d,3
AD,e,4
AD,f,4
AD,g,4
AD,h,4
AD,i,5
AD,j,5
AD,k,5
AD,l,5
AD,m,6
AD,n,6
AD,o,6
AD,p,7
AD,q,7
AD,r,7
AD,s,7
AD,t,8
AD,u,8
AD,v,8
AD,w,9
AD,x,9
AD,y,9
AD,z,9
q,a,20
q,b,20
q,c,21
q,d,21
q,e,22
q,f,22
q,g,23
q,h,23
q,i,24
q,j,24
q,k,25
q,l,25
q,m,26
q,n,26
q,o,27
q,p,27
q,q,28
q,r,28
q,s,29
q,t,29
num,0,12
num,1,13
num,2,14
num,3,15
num,4,16
num,5,17
num,6,18
num,7,19
num,8,19
num,9,19
