"Date Time, GMT+04:00",Time,"Abs Pres, kPa (LGR S/N: 10582011, SEN S/N: 10582011)"
9/04/15 0:00,7:30:00 am,100.898
9/04/15 0:00,8:00:00 am,100.897
9/04/15 0:00,8:30:00 am,101.031
9/04/15 0:00,9:00:00 am,251.952
9/04/15 0:00,9:30:00 am,248.921
9/04/15 0:00,10:00:00 am,245.122
9/04/15 0:00,10:30:00 am,243.973
9/04/15 0:00,11:00:00 am,240.947
9/04/15 0:00,11:30:00 am,238.622
9/04/15 0:00,12:00:00 pm,237.473
9/04/15 0:00,12:30:00 pm,235.047
9/04/15 0:00,1:00:00 pm,232.493
9/04/15 0:00,1:30:00 pm,232.748
9/04/15 0:00,2:00:00 pm,232.269
9/04/15 0:00,2:30:00 pm,234.202
9/04/15 0:00,3:00:00 pm,235.761
9/04/15 0:00,3:30:00 pm,237.996
9/04/15 0:00,4:00:00 pm,241.342
9/04/15 0:00,4:30:00 pm,243.896
9/04/15 0:00,5:00:00 pm,247.311
9/04/15 0:00,5:30:00 pm,248.468
9/04/15 0:00,6:00:00 pm,252.719
9/04/15 0:00,6:30:00 pm,253.689
9/04/15 0:00,7:00:00 pm,255.387
9/04/15 0:00,7:30:00 pm,257.155
9/04/15 0:00,8:00:00 pm,256.325
9/04/15 0:00,8:30:00 pm,255.808
9/04/15 0:00,9:00:00 pm,255.54
9/04/15 0:00,9:30:00 pm,253.72
9/04/15 0:00,10:00:00 pm,251.135
9/04/15 0:00,10:30:00 pm,248.261
9/04/15 0:00,11:00:00 pm,245.548
9/04/15 0:00,11:30:00 pm,243.147
10/04/15 0:00,12:00:00 am,241.008
10/04/15 0:00,12:30:00 am,239.476
10/04/15 0:00,1:00:00 am,236.002
10/04/15 0:00,1:30:00 am,235.198
10/04/15 0:00,2:00:00 am,233.027
10/04/15 0:00,2:30:00 am,234.879
10/04/15 0:00,3:00:00 am,236.443
10/04/15 0:00,3:30:00 am,236.417
10/04/15 0:00,4:00:00 am,238.039
10/04/15 0:00,4:30:00 am,239.891
10/04/15 0:00,5:00:00 am,242.285
10/04/15 0:00,5:30:00 am,245.095
10/04/15 0:00,6:00:00 am,247.425
10/04/15 0:00,6:30:00 am,249.468
10/04/15 0:00,7:00:00 am,250.298
10/04/15 0:00,7:30:00 am,252.15
10/04/15 0:00,8:00:00 am,252.597
10/04/15 0:00,8:30:00 am,252.387
10/04/15 0:00,9:00:00 am,252.086
10/04/15 0:00,9:30:00 am,250.145
10/04/15 0:00,10:00:00 am,250.215
10/04/15 0:00,10:30:00 am,248.714
10/04/15 0:00,11:00:00 am,244.947
10/04/15 0:00,11:30:00 am,243.383
10/04/15 0:00,12:00:00 pm,239.456
10/04/15 0:00,12:30:00 pm,238.498
10/04/15 0:00,1:00:00 pm,237.636
10/04/15 0:00,1:30:00 pm,235.497
10/04/15 0:00,2:00:00 pm,235.625
10/04/15 0:00,2:30:00 pm,233.517
10/04/15 0:00,3:00:00 pm,237.476
10/04/15 0:00,3:30:00 pm,237.7
10/04/15 0:00,4:00:00 pm,239.743
10/04/15 0:00,4:30:00 pm,240.478
10/04/15 0:00,5:00:00 pm,243.026
10/04/15 0:00,5:30:00 pm,246.288
10/04/15 0:00,6:00:00 pm,248.932
10/04/15 0:00,6:30:00 pm,250.656
10/04/15 0:00,7:00:00 pm,253.305
10/04/15 0:00,7:30:00 pm,253.944
10/04/15 0:00,8:00:00 pm,254.831
10/04/15 0:00,8:30:00 pm,255.917
10/04/15 0:00,9:00:00 pm,255.629
10/04/15 0:00,9:30:00 pm,255.221
10/04/15 0:00,10:00:00 pm,252.814
10/04/15 0:00,10:30:00 pm,250.745
10/04/15 0:00,11:00:00 pm,249.181
10/04/15 0:00,11:30:00 pm,245.733
11/04/15 0:00,12:00:00 am,245.069
11/04/15 0:00,12:30:00 am,242.483
11/04/15 0:00,1:00:00 am,240.631
11/04/15 0:00,1:30:00 am,237.177
11/04/15 0:00,2:00:00 am,236.928
11/04/15 0:00,2:30:00 am,236.666
11/04/15 0:00,3:00:00 am,235.479
11/04/15 0:00,3:30:00 am,237.044
11/04/15 0:00,4:00:00 am,236.82
11/04/15 0:00,4:30:00 am,238.167
11/04/15 0:00,5:00:00 am,241.461
11/04/15 0:00,5:30:00 am,243.096
11/04/15 0:00,6:00:00 am,243.116
11/04/15 0:00,6:30:00 am,246.308
11/04/15 0:00,7:00:00 am,247.266
11/04/15 0:00,7:30:00 am,249.654
11/04/15 0:00,8:00:00 am,249.526
11/04/15 0:00,8:30:00 am,250.324
11/04/15 0:00,9:00:00 am,251.614
11/04/15 0:00,9:30:00 am,250.458
11/04/15 0:00,10:00:00 am,249.947
11/04/15 0:00,10:30:00 am,248.555
11/04/15 0:00,11:00:00 am,246.793
11/04/15 0:00,11:30:00 am,245.075
11/04/15 0:00,12:00:00 pm,242.988
11/04/15 0:00,12:30:00 pm,241.551
11/04/15 0:00,1:00:00 pm,240.236
11/04/15 0:00,1:30:00 pm,238.895
11/04/15 0:00,2:00:00 pm,239.061
11/04/15 0:00,2:30:00 pm,237.662
11/04/15 0:00,3:00:00 pm,238.466
11/04/15 0:00,3:30:00 pm,237.445
11/04/15 0:00,4:00:00 pm,238.237
11/04/15 0:00,4:30:00 pm,239.642
11/04/15 0:00,5:00:00 pm,241.493
11/04/15 0:00,5:30:00 pm,243.626
11/04/15 0:00,6:00:00 pm,245.372
11/04/15 0:00,6:30:00 pm,246.769
11/04/15 0:00,7:00:00 pm,248.53
11/04/15 0:00,7:30:00 pm,250.005
11/04/15 0:00,8:00:00 pm,251.729
11/04/15 0:00,8:30:00 pm,253.139
11/04/15 0:00,9:00:00 pm,253.197
11/04/15 0:00,9:30:00 pm,254.48
11/04/15 0:00,10:00:00 pm,253.906
11/04/15 0:00,10:30:00 pm,252.495
11/04/15 0:00,11:00:00 pm,251.953
11/04/15 0:00,11:30:00 pm,249.424
12/04/15 0:00,12:00:00 am,247.553
12/04/15 0:00,12:30:00 am,246.053
12/04/15 0:00,1:00:00 am,243.435
12/04/15 0:00,1:30:00 am,242.892
12/04/15 0:00,2:00:00 am,240.747
12/04/15 0:00,2:30:00 am,240.077
12/04/15 0:00,3:00:00 am,238.193
12/04/15 0:00,3:30:00 am,238.039
12/04/15 0:00,4:00:00 am,238.965
12/04/15 0:00,4:30:00 am,238.391
12/04/15 0:00,5:00:00 am,238.608
12/04/15 0:00,5:30:00 am,240.109
12/04/15 0:00,6:00:00 am,241.673
12/04/15 0:00,6:30:00 am,242.982
12/04/15 0:00,7:00:00 am,244.323
12/04/15 0:00,7:30:00 am,246.053
12/04/15 0:00,8:00:00 am,246.743
12/04/15 0:00,8:30:00 am,247.758
12/04/15 0:00,9:00:00 am,249.552
12/04/15 0:00,9:30:00 am,248.869
12/04/15 0:00,10:00:00 am,248.913
12/04/15 0:00,10:30:00 am,248.287
12/04/15 0:00,11:00:00 am,248.632
12/04/15 0:00,11:30:00 am,247.515
12/04/15 0:00,12:00:00 pm,245.274
12/04/15 0:00,12:30:00 pm,244.215
12/04/15 0:00,1:00:00 pm,243.792
12/04/15 0:00,1:30:00 pm,242.808
12/04/15 0:00,2:00:00 pm,239.392
12/04/15 0:00,2:30:00 pm,240.126
12/04/15 0:00,3:00:00 pm,239.679
12/04/15 0:00,3:30:00 pm,238.55
12/04/15 0:00,4:00:00 pm,238.474
12/04/15 0:00,4:30:00 pm,239.949
12/04/15 0:00,5:00:00 pm,241.232
12/04/15 0:00,5:30:00 pm,241.603
12/04/15 0:00,6:00:00 pm,241.769
12/04/15 0:00,6:30:00 pm,244.113
12/04/15 0:00,7:00:00 pm,244.355
12/04/15 0:00,7:30:00 pm,247.004
12/04/15 0:00,8:00:00 pm,247.898
12/04/15 0:00,8:30:00 pm,250.101
12/04/15 0:00,9:00:00 pm,249.813
12/04/15 0:00,9:30:00 pm,251.327
12/04/15 0:00,10:00:00 pm,251.411
12/04/15 0:00,10:30:00 pm,251.819
12/04/15 0:00,11:00:00 pm,252.31
12/04/15 0:00,11:30:00 pm,251.333
13/04/15,12:00:00 am,251.078
13/04/15,12:30:00 am,249.035
13/04/15,1:00:00 am,249.049
13/04/15,1:30:00 am,246.481
13/04/15,2:00:00 am,245.747
13/04/15,2:30:00 am,243.89
13/04/15,3:00:00 am,242.664
13/04/15,3:30:00 am,241.005
13/04/15,4:00:00 am,240.5
13/04/15,4:30:00 am,240.378
13/04/15,5:00:00 am,238.137
13/04/15,5:30:00 am,238.941
13/04/15,6:00:00 am,240.474
13/04/15,6:30:00 am,240.001
13/04/15,7:00:00 am,241.278
13/04/15,7:30:00 am,241.948
13/04/15,8:00:00 am,243.327
13/04/15,8:30:00 am,243.135
13/04/15,9:00:00 am,245.306
13/04/15,9:30:00 am,246.104
13/04/15,10:00:00 am,246.737
13/04/15,10:30:00 am,248.173
13/04/15,11:00:00 am,247.478
13/04/15,11:30:00 am,248.194
13/04/15,12:00:00 pm,248.149
13/04/15,12:30:00 pm,248.526
